customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15634602,652,France,Female,41,6,0.0,1,1,1,80628.23115629937,0
15647311,628,France,Female,39,1,19937.4760848078,2,0,1,114757.12595664922,0
15619304,495,France,Female,41,7,48567.26270242656,2,1,0,98827.43136233097,0
15701354,744,France,Female,39,2,0.0,2,0,0,86345.28203087403,0
15737888,846,Germany,Female,41,1,109574.34774884718,1,1,1,88125.51935790939,1
15574012,589,Spain,Male,44,9,51489.764598256086,2,1,0,132891.69634289574,0
15592531,810,France,Male,52,6,0.0,2,1,1,7768.472713737778,0
15656148,432,Germany,Female,32,6,89523.65729624385,3,1,0,138864.38711230445,0
15792365,519,France,Male,42,5,142706.67149591653,1,1,1,47301.948823319864,0
15592389,684,France,Male,30,3,135225.65505615028,1,1,1,56367.06708690039,0
15767821,542,France,Male,31,6,64893.96085006855,2,0,0,81290.39055065649,0
15737173,503,France,Male,23,3,0.0,2,1,0,172659.22329803402,0
15632264,493,France,Female,33,10,0.0,2,1,1,22498.01314631234,0
15691483,545,France,Female,26,6,0.0,2,1,0,139876.0278336503,0
15600882,677,France,Female,36,7,0.0,2,1,1,57125.62251567906,0
15643966,629,Germany,Male,42,2,127752.68059459535,2,1,1,22533.495911501246,1
15737452,655,Germany,Male,48,1,131908.15168534312,1,1,0,15574.04419436767,1
15788218,523,France,Female,25,8,0.0,2,1,1,8837.361391630897,0
15661507,595,Spain,Male,41,6,0.0,1,0,0,159078.83376238798,0
15568982,707,France,Female,28,8,0.0,2,1,1,54052.79538701553,0
15577657,736,France,Male,39,7,0.0,2,1,1,185420.83402489685,0
15597945,619,France,Male,36,8,0.0,2,1,0,128883.16635333578,0
15699309,516,Spain,Female,38,4,11708.70257548055,1,1,0,150095.51368453258,0
15725737,680,France,Male,46,3,32556.870549775456,2,1,1,11538.929881701464,0
15625047,825,France,Female,31,6,0.0,1,1,1,178466.8125169329,0
15738191,592,France,Male,33,3,0.0,2,0,1,119531.90465231659,0
15736816,768,France,Male,38,1,119611.17311577975,1,1,1,180248.3003444575,0
15700772,583,France,Male,43,9,0.0,2,1,1,46233.66085604059,0
15728693,563,Germany,Female,44,1,112221.77304989623,1,1,0,128346.19664648955,1
15656300,447,France,Male,32,1,68742.72256119353,1,1,1,33075.18253012598,0
15589475,595,Spain,Male,37,4,0.0,2,1,0,133469.5204599114,0
15706552,552,France,Male,32,7,106192.22175309408,1,1,1,150906.99740065233,0
15750181,587,Spain,Female,41,7,42981.42717285024,2,1,0,82029.03006413972,0
15659428,521,France,Female,39,3,0.0,2,1,1,24427.88139149522,0
15732963,698,France,Female,29,9,0.0,2,1,1,117939.31185508771,0
15794171,481,France,Male,45,1,147225.06160818704,1,1,0,55239.62749927984,1
15788448,490,France,Male,30,4,115319.43037741854,1,1,1,135958.99479615598,0
15729599,815,France,Male,33,8,81878.30003846041,1,1,1,100247.01744028865,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,563,France,Male,42,6,10072.669299923087,2,1,0,178272.0207085941,0
15619360,516,France,Male,42,4,42847.327142884715,1,1,0,75687.69272808629,0
15738148,530,France,Female,50,8,63796.61972811691,1,1,0,185694.62211644038,0
15687946,557,France,Female,59,5,118901.84815284947,2,1,1,112647.51035077577,0
15755196,823,Germany,Female,44,2,127172.72226833348,1,0,0,145577.74607791024,0
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,762,France,Female,34,4,85032.21940176752,2,1,1,124531.49097424129,0
15602280,784,France,Female,29,8,112658.2555520851,1,1,1,128932.56889173218,0
15771573,722,France,Female,40,8,121674.24867565668,1,1,1,100443.85128645855,0
15766205,554,Germany,Male,36,2,106778.13791005826,1,0,1,79064.95485468832,0
15771873,780,France,Female,35,3,88936.48804996614,1,1,0,164783.9413707115,0
15616550,683,France,Male,41,8,94954.39818135252,2,1,0,195099.09194995905,0
15768193,567,Germany,Male,36,7,138340.75788062814,2,1,0,89225.02811736728,0
15683553,768,France,Female,34,4,0.0,2,1,0,120910.09081341028,0
15702298,671,Germany,Female,38,8,115347.96819368178,1,1,0,191206.5649474025,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,620,France,Male,43,3,135647.44094972647,1,1,1,115777.1789312607,0
15630053,654,France,Male,42,7,124371.76817403935,1,1,0,83849.99746514588,1
15647091,751,Germany,Male,22,1,79631.74065515777,1,1,0,73298.30325215991,0
15623944,530,Spain,Female,63,3,0.0,2,1,0,8269.115338755844,1
15804771,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
